Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2020-04-17,2794862,2797289,2791012,42,149,12,867,4420,139,2276,4886,515,119,198,105,0,0,0,1,1,1,11,54,0,1.3555803413023535,2.089608935433937,0.191664480964904,0.1956994603194796,0.1330257205282432,0.0928539305698699,0.0640980072725891,0.0011832548543968,0.0002340347172532,0.2141931214644404,0.1392231840192642
2020-04-18,2794847,2797274,2790996,48,137,22,815,4143,135,2348,4920,551,108,243,83,0,0,0,1,1,1,14,49,4,1.3555803413023535,2.089608935433937,0.191664480964904,0.1956994603194796,0.1330257205282432,0.0928539305698699,0.0640980072725891,0.0011832548543968,0.0002340347172532,0.2141931214644404,0.1392231840192642
2020-04-19,2794831,2797257,2790981,54,127,30,769,3883,134,2414,4950,582,98,273,67,0,0,0,1,1,1,16,45,7,1.4023244910024348,2.161664415966142,0.1982736009981766,0.1956994603194796,0.1330257205282432,0.0928539305698699,0.0640980072725891,0.0011832548543968,0.0002340347172532,0.2141931214644404,0.1392231840192642
2020-04-20,2794819,2797244,2790972,55,114,33,726,3639,133,2475,4975,609,90,291,53,0,0,0,1,1,1,18,44,10,0.9816271437017046,1.5131650911762995,0.1387915206987236,0.1956994603194796,0.1330257205282432,0.0928539305698699,0.0640980072725891,0.0011832548543968,0.0002340347172532,0.2141931214644404,0.1392231840192642
2020-04-21,2794810,2797233,2790964,54,101,34,686,3409,134,2533,4998,634,82,300,43,0,0,0,1,1,1,19,39,11,0.8413946946014608,1.2969986495796852,0.1189641605989059,0.1956994603194796,0.1330257205282432,0.0928539305698699,0.0640980072725891,0.0011832548543968,0.0002340347172532,0.2141931214644404,0.1392231840192642
2020-04-22,2794777,2794781,2794775,72,74,69,651,651,651,2572,2589,2561,91,102,74,0,0,0,4,4,4,18,18,18,0.8372483069145822,0.9842664738330736,0.7544407200825863,0.0841717961850603,0.0450783857573305,0.067620563761574,0.0087392557912481,0.0011641449197536,0.0001385501102816,0.2001092562960927,0.1247538296980333
2020-04-23,2794746,2794753,2794743,88,90,82,621,622,620,2612,2642,2593,96,115,66,0,0,0,4,4,4,26,27,25,0.865156583811735,1.017075356294176,0.7795887440853393,0.0841717961850603,0.0450783857573305,0.067620563761574,0.0087392557912481,0.0011641449197536,0.0001385501102816,0.2001092562960927,0.1247538296980333
2020-04-24,2794716,2794725,2794712,100,103,94,596,597,594,2652,2691,2627,99,124,60,0,0,0,4,4,4,31,32,29,0.865156583811735,1.017075356294176,0.7795887440853393,0.0841717961850603,0.0450783857573305,0.067620563761574,0.0087392557912481,0.0011641449197536,0.0001385501102816,0.2001092562960927,0.1247538296980333
2020-04-25,2794685,2794695,2794680,111,114,105,575,576,571,2692,2738,2663,101,129,55,0,0,0,4,4,4,37,38,35,0.8930648607088877,1.0498842387552785,0.8047367680880921,0.0841717961850603,0.0450783857573305,0.067620563761574,0.0087392557912481,0.0011641449197536,0.0001385501102816,0.2001092562960927,0.1247538296980333
2020-04-26,2794655,2794664,2794649,119,123,114,556,558,552,2732,2783,2700,101,132,51,0,0,0,4,4,4,39,40,37,0.8930648607088877,1.0498842387552785,0.8047367680880921,0.0841717961850603,0.0450783857573305,0.067620563761574,0.0087392557912481,0.0011641449197536,0.0001385501102816,0.2001092562960927,0.1247538296980333
2020-04-27,2794624,2794628,2794620,124,127,120,541,541,540,2773,2783,2761,97,110,87,4,5,4,4,4,4,40,40,40,1.0064337850773246,1.0531207898817598,0.9433167167062366,0.22820048879332,0.160684197590553,0.0650182499077809,0.0473949343361572,0.0891227435220246,0.0104388041488314,0.0457825525431299,0.0845610383615686
2020-04-28,2794600,2794608,2794594,124,129,117,526,527,525,2812,2830,2791,94,116,76,6,6,6,4,4,4,39,40,38,0.8691928143849619,0.909513409443338,0.814682618973568,0.22820048879332,0.160684197590553,0.0650182499077809,0.0473949343361572,0.0891227435220246,0.0104388041488314,0.0457825525431299,0.0845610383615686
2020-04-29,2794558,2794572,2794549,141,148,130,515,517,512,2851,2875,2822,91,120,67,7,8,7,4,4,4,43,44,40,1.5096506776159866,1.5796811848226395,1.4149750750593546,0.22820048879332,0.160684197590553,0.0650182499077809,0.0473949343361572,0.0891227435220246,0.0104388041488314,0.0457825525431299,0.0845610383615686
2020-04-30,2794517,2794535,2794506,153,161,141,506,510,502,2888,2916,2854,89,123,60,9,9,8,4,4,4,44,46,41,1.418156697154412,1.4839429311970251,1.3292190099042425,0.22820048879332,0.160684197590553,0.0650182499077809,0.0473949343361572,0.0891227435220246,0.0104388041488314,0.0457825525431299,0.0845610383615686
2020-05-01,2794474,2794493,2794462,167,173,155,501,505,494,2925,2957,2887,87,125,55,10,11,9,4,4,4,52,55,48,1.4639036873851994,1.5318120580098324,1.3720970424817986,0.22820048879332,0.160684197590553,0.0650182499077809,0.0473949343361572,0.0891227435220246,0.0104388041488314,0.0457825525431299,0.0845610383615686
2020-05-02,2794421,2794425,2794419,187,190,184,499,500,499,2969,2973,2964,76,81,71,9,10,8,5,5,5,59,59,59,1.993409387628071,2.393957248030696,1.6027242444127523,0.11230581057839,0.1213245096211439,0.1162452640291902,0.0470814792376863,0.164771843011486,0.0308746230294511,0.006381032756245,0.0073966128429211
2020-05-03,2794388,2794393,2794385,185,188,181,499,500,498,3011,3018,3002,67,77,59,11,12,10,5,5,5,71,72,70,1.1960456325768427,1.4363743488184175,0.9616345466476516,0.11230581057839,0.1213245096211439,0.1162452640291902,0.0470814792376863,0.164771843011486,0.0308746230294511,0.006381032756245,0.0073966128429211
2020-05-04,2794355,2794361,2794351,183,186,179,499,500,497,3051,3061,3040,61,74,50,13,14,11,5,5,5,71,72,70,1.1960456325768427,1.4363743488184175,0.9616345466476516,0.11230581057839,0.1213245096211439,0.1162452640291902,0.0470814792376863,0.164771843011486,0.0308746230294511,0.006381032756245,0.0073966128429211
2020-05-05,2794321,2794329,2794315,182,187,177,498,500,496,3090,3103,3077,56,71,43,14,15,12,5,5,5,68,69,66,1.2530001865090734,1.5047731273335805,1.0074266679165873,0.11230581057839,0.1213245096211439,0.1162452640291902,0.0470814792376863,0.164771843011486,0.0308746230294511,0.006381032756245,0.0073966128429211
2020-05-06,2794290,2794300,2794282,179,184,173,497,500,494,3129,3143,3113,52,70,38,15,16,13,5,5,5,58,60,57,1.1390910786446118,1.3679755703032548,0.9158424253787156,0.11230581057839,0.1213245096211439,0.1162452640291902,0.0470814792376863,0.164771843011486,0.0308746230294511,0.006381032756245,0.0073966128429211
2020-05-07,2794228,2794229,2794226,173,175,171,495,496,495,3162,3175,3149,58,71,44,40,40,40,11,11,11,66,66,66,0.7890221164736961,0.8392799061900891,0.7603090782758574,0.1576751952096319,0.1077477725373639,0.0742659135963922,0.042872346869767,0.0027184946157271,0.0039615615672647,0.0282995683892293,0.04135730161876
2020-05-08,2794188,2794192,2794182,179,184,176,494,495,493,3196,3220,3174,62,85,38,37,37,37,11,11,11,64,65,63,1.164746933842123,1.2389370043758456,1.1223610203119798,0.1576751952096319,0.1077477725373639,0.0742659135963922,0.042872346869767,0.0027184946157271,0.0039615615672647,0.0282995683892293,0.04135730161876
2020-05-09,2794146,2794152,2794137,186,193,181,494,495,492,3231,3263,3201,66,95,33,34,34,34,11,12,11,57,59,56,1.2023194155789656,1.2789027141944214,1.1585662145155922,0.1576751952096319,0.1077477725373639,0.0742659135963922,0.042872346869767,0.0027184946157271,0.0039615615672647,0.0282995683892293,0.04135730161876
2020-05-10,2794100,2794107,2794088,196,204,191,495,498,493,3266,3305,3231,68,103,29,31,32,31,11,12,11,61,63,60,1.3150368607894936,1.3987998436501483,1.2671817971264288,0.1576751952096319,0.1077477725373639,0.0742659135963922,0.042872346869767,0.0027184946157271,0.0039615615672647,0.0282995683892293,0.04135730161876
2020-05-11,2794068,2794076,2794054,191,200,186,496,501,494,3302,3347,3263,69,109,25,29,29,28,11,13,11,69,72,68,0.9017395616842242,0.959177035645816,0.8689246608866941,0.1576751952096319,0.1077477725373639,0.0742659135963922,0.042872346869767,0.0027184946157271,0.0039615615672647,0.0282995683892293,0.04135730161876
2020-05-12,2794046,2794048,2794045,186,187,185,497,497,497,3336,3349,3325,71,82,56,16,17,15,15,15,15,64,64,64,1.019706090646956,1.2582225206293969,0.8247321330193906,0.08721691566465,0.0884252060354079,0.1020522641682249,0.0362552735914466,0.1058968413910816,0.0480837203640623,0.0400071272883357,0.0404962286402563
