date,new_diagnoses,new_deaths,new_recoveries,cum_diagnoses,cum_deaths,cum_recoveries,vent,cum_tests,new_tests
2020-03-31,1,,,1,0,,,,
2020-04-01,1,,,2,0,,,,
2020-04-02,1,,,3,0,,,,
2020-04-04,3,,,6,0,,,,
2020-04-06,5,,,11,0,,,,
2020-04-08,6,,,17,0,,,,
2020-04-09,3,,,20,0,,,,
2020-04-11,8,,2,28,0,2,,,
2020-04-13,2,,,30,0,2,,,
2020-04-14,5,,,35,0,2,,,
2020-04-15,3,,,38,0,2,,,
2020-04-16,9,,,47,0,2,,,
2020-04-17,5,,1,52,0,3,,,
2020-04-18,10,,,62,0,3,,19388,
2020-04-19,9,,,71,0,3,,22314,2926
2020-04-20,12,,,83,0,3,,23261,947
2020-04-21,43,,5,126,0,8,,24819,1558
2020-04-22,9,,,135,0,8,,27053,2234
2020-04-23,8,,4,143,0,12,,29672,2619
2020-04-24,8,,2,151,0,14,,33087,3415
2020-04-25,63,1,3,214,1,17,,36423,3336
2020-04-26,68,1,4,282,2,21,,38017,1594
2020-04-27,27,,7,309,2,28,,39461,1444
2020-04-28,14,,5,323,2,33,,41406,1945
2020-04-29,24,,11,347,2,44,,43787,2381
2020-04-30,34,,,381,2,44,,46507,2720
2020-05-01,41,,10,422,2,54,,48810,2303
2020-05-02,28,,14,450,2,68,,51568,2758
2020-05-03,47,,7,497,2,75,,55160,3592
2020-05-04,36,1,6,533,3,81,,56952,1792
2020-05-05,21,1,27,554,4,108,,58274,1322
2020-05-06,33,,1,587,4,109,,60243,1969
2020-05-07,17,,22,604,4,131,,62933,2690
2020-05-08,16,,32,620,4,163,,65842,2909
2020-05-09,20,,9,640,4,172,,69170,3328
2020-05-10,28,,31,668,4,203,,71892,2722
2020-05-11,38,,20,706,4,223,,73722,1830
2020-05-12,20,,66,726,4,289,,75132,1410
2020-05-13,43,,53,769,4,342,,78026,2894
2020-05-14,39,,35,808,4,377,,81554,3528
2020-05-15,38,,44,846,4,421,,85268,3714
2020-05-16,38,,27,884,4,448,,89262,3994
2020-05-17,40,,16,924,4,464,,92113,2851
2020-05-18,45,,15,969,4,479,,93543,1430
2020-05-19,44,1,49,1013,5,528,,95385,1842
2020-05-20,40,2,26,1053,7,554,,98551,3166
2020-05-21,57,1,26,1110,8,580,,101543,2992
2020-05-22,74,,18,1184,8,598,,104264,2721
2020-05-23,69,,21,1253,8,619,,107491,3227
2020-05-24,71,,16,1324,8,635,,110528,3037
2020-05-25,81,,,1405,8,635,,111873,1345
2020-05-26,79,2,34,1484,10,669,,114483,2610
2020-05-27,69,1,22,1553,11,691,,118027,3544
2020-05-28,79,,27,1632,11,718,,122124,4097
2020-05-29,75,2,13,1707,13,731,,125010,2886
2020-05-30,71,,35,1778,13,766,,128318,3308
2020-05-31,69,,20,1847,13,786,,132319,4001
2020-06-01,67,,18,1914,13,804,,133246,927
2020-06-02,70,,28,1984,13,832,,135609,2363
2020-06-03,81,,33,2065,13,865,,138803,3194
2020-06-04,69,,33,2134,13,898,,142045,3242
2020-06-05,57,1,67,2191,14,965,,145699,3654
2020-06-06,63,1,95,2254,15,1060,,149028,3329
2020-06-07,64,,35,2318,15,1095,,151215,2187
2020-06-08,71,,11,2389,15,1106,,153701,2486
2020-06-09,68,1,90,2457,16,1196,,154895,1194
2020-06-10,66,1,117,2523,17,1313,,157817,2922
2020-06-11,69,3,93,2592,20,1406,,160987,3170
2020-06-12,66,,162,2658,20,1568,,164479,3492
2020-06-13,67,,38,2725,20,1606,,168736,4257
2020-06-14,69,,60,2794,20,1666,,172200,3464
2020-06-15,72,,48,2866,20,1714,,173340,1140
2020-06-16,72,2,177,2938,22,1891,,174522,1182
2020-06-17,71,1,100,3009,23,1991,,178815,4293
