date,new_deaths
2020-07-09,5
2020-07-11,1
2020-07-12,7
2020-07-13,3
2020-07-14,3
2020-07-15,2
2020-07-16,2
2020-07-17,2
2020-07-18,3
2020-07-19,2
2020-07-20,3
2020-07-21,2
2020-07-22,5
2020-07-23,3
2020-07-24,1
2020-07-26,3
2020-07-27,7
2020-07-28,5
2020-07-29,6
2020-07-30,3
2020-07-31,1
2020-08-01,4
2020-08-03,5
2020-08-04,3
2020-08-05,1
2020-08-06,1
2020-08-07,1
2020-08-09,5
2020-08-10,2
2020-08-11,1
2020-08-12,2
2020-08-13,1
2020-08-14,1
2020-08-16,1
2020-08-17,2
2020-08-18,2
2020-08-20,3
2020-08-22,1
2020-08-23,2
2020-08-24,3
2020-08-25,2
2020-08-27,2
2020-08-28,2
2020-08-29,1
2020-08-31,5
2020-09-01,3
2020-09-02,5
2020-09-05,1
2020-09-06,2
2020-09-07,1
2020-09-10,6
2020-09-12,1
2020-09-13,3
2020-09-14,2
2020-09-17,1
2020-09-18,1
2020-09-19,2
2020-09-20,2
2020-09-21,4
2020-09-22,3
2020-09-23,4
2020-09-24,1
2020-09-25,1
2020-09-26,2
2020-09-27,1
2020-09-29,5
2020-10-01,2
2020-10-03,3
2020-10-05,5
2020-10-06,3
2020-10-07,7
2020-10-08,3
2020-10-09,1
2020-10-11,4
2020-10-12,6
2020-10-13,8
2020-10-14,6
2020-10-15,5
2020-10-16,3
2020-10-17,3
2020-10-18,6
2020-10-19,9
2020-10-20,8
2020-10-21,12
2020-10-22,7
2020-10-23,6
2020-10-24,3
2020-10-25,8
2020-10-26,10
2020-10-27,7
2020-10-28,10
2020-10-29,11
2020-10-30,12
2020-10-31,5
2020-11-01,5
2020-11-02,7
2020-11-03,13
2020-11-04,9
2020-11-05,6
2020-11-06,7
2020-11-07,8
2020-11-08,6
2020-11-09,12
2020-11-10,9
2020-11-11,13
2020-11-12,7
2020-11-13,6
2020-11-14,9
2020-11-15,11
2020-11-16,11
2020-11-17,12
2020-11-18,13
2020-11-19,14
2020-11-20,7
2020-11-21,7
2020-11-22,5
2020-11-23,12
2020-11-24,16
2020-11-25,16
2020-11-26,11
2020-11-27,6
2020-11-28,6
2020-11-29,5
2020-11-30,10
2020-12-01,10
2020-12-02,9
2020-12-03,8
2020-12-04,2
2020-12-05,5
2020-12-06,4
2020-12-07,8
2020-12-08,9
2020-12-09,8
2020-12-10,4
2020-12-11,5
2020-12-12,1
2020-12-13,6
2020-12-14,9
2020-12-15,9
2020-12-16,7
2020-12-17,3
2020-12-18,4
2020-12-19,4
2020-12-20,3
2020-12-21,4
2020-12-22,3
2020-12-23,4
2020-12-24,3
2020-12-25,3
2020-12-27,4
2020-12-28,7
2020-12-29,8
2020-12-31,7
2021-01-01,9
2021-01-02,6
2021-01-03,3
2021-01-04,6
2021-01-05,4
2021-01-06,5
2021-01-07,3
2021-01-08,4
2021-01-09,4
2021-01-10,4
2021-01-11,4
2021-01-12,6
2021-01-13,9
2021-01-14,5
2021-01-15,6
2021-01-16,1
2021-01-17,5
2021-01-18,7
2021-01-19,4
2021-01-20,7
2021-01-21,3
2021-01-22,2
2021-01-24,2
2021-01-25,9
2021-01-26,6
2021-01-27,6
2021-01-28,4
2021-01-29,2
2021-01-30,2
2021-01-31,3
2021-02-01,3
2021-02-02,2
2021-02-03,3
2021-02-04,5
2021-02-05,4
2021-02-06,1
2021-02-07,4
2021-02-08,3
2021-02-09,6
2021-02-10,2
2021-02-11,3
2021-02-12,2
2021-02-13,2
2021-02-14,4
2021-02-15,5
2021-02-16,7
2021-02-17,4
2021-02-18,4
2021-02-19,3
2021-02-20,5
2021-02-21,2
2021-02-22,3
2021-02-23,3
2021-02-24,6
2021-02-25,4
2021-02-26,3
2021-02-27,5
2021-02-28,1
2021-03-01,3
2021-03-02,1
2021-03-03,3
2021-03-04,4
2021-03-05,1
2021-03-06,1
2021-03-07,3
2021-03-08,2
2021-03-09,3
2021-03-10,6
2021-03-11,3
2021-03-12,1
2021-03-13,2
2021-03-14,3
