date,positive_percent
2020-05-21,0.0
2020-05-22,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,7.9
2020-05-29,8.5
2020-06-01,9.5
2020-06-02,14.8
2020-06-03,10.3
2020-06-04,10.1
2020-06-05,13.6
2020-06-06,0.0
2020-06-07,25.0
2020-06-08,16.1
2020-06-09,13.5
2020-06-10,17.0
2020-06-11,16.3
2020-06-12,17.7
2020-06-13,17.6
2020-06-14,20.0
2020-06-15,21.7
2020-06-16,17.3
2020-06-17,19.5
2020-06-18,11.6
2020-06-19,14.7
2020-06-20,4.5
2020-06-21,13.7
2020-06-22,21.8
2020-06-23,28.5
2020-06-24,25.0
2020-06-25,26.5
2020-06-26,23.0
2020-06-27,22.4
2020-06-28,18.7
2020-06-29,21.5
2020-06-30,25.2
2020-07-01,24.6
2020-07-02,24.2
2020-07-03,26.8
2020-07-04,27.5
2020-07-05,31.3
2020-07-06,39.2
2020-07-07,24.7
2020-07-08,22.6
2020-07-09,24.1
2020-07-10,23.6
2020-07-11,16.7
2020-07-12,22.9
2020-07-13,24.2
2020-07-14,33.2
2020-07-15,31.0
2020-07-16,30.5
2020-07-17,28.7
2020-07-18,31.6
2020-07-19,27.4
2020-07-20,26.2
2020-07-21,34.5
2020-07-22,28.2
2020-07-23,25.3
2020-07-24,28.5
2020-07-25,24.8
2020-07-26,26.2
2020-07-27,31.5
2020-07-28,26.8
2020-07-29,26.8
2020-07-30,32.2
2020-07-31,26.8
2020-08-01,33.3
2020-08-02,31.5
2020-08-03,31.1
2020-08-04,31.9
2020-08-05,26.5
2020-08-06,21.0
2020-08-07,20.1
2020-08-08,29.3
2020-08-09,23.3
2020-08-10,27.0
2020-08-11,27.2
2020-08-12,24.1
2020-08-13,42.2
2020-08-14,25.0
2020-08-15,27.3
2020-08-16,20.3
2020-08-17,29.2
2020-08-18,30.8
2020-08-19,15.3
2020-08-20,31.2
2020-08-21,28.8
2020-08-22,15.0
2020-08-23,22.3
2020-08-24,26.5
2020-08-25,26.5
2020-08-26,20.9
2020-08-27,22.9
2020-08-28,24.6
2020-08-29,0.0
2020-08-30,38.7
2020-08-31,20.3
2020-09-01,28.8
2020-09-02,30.0
2020-09-03,34.9
2020-09-04,22.1
2020-09-05,19.2
2020-09-06,21.0
2020-09-07,31.3
2020-09-08,28.8
2020-09-09,31.4
2020-09-10,34.7
2020-09-11,35.0
2020-09-12,31.8
2020-09-13,31.7
2020-09-14,33.7
2020-09-15,14.9
2020-09-16,19.0
2020-09-17,19.5
2020-09-18,23.4
2020-09-19,36.7
2020-09-20,18.1
2020-09-21,27.8
2020-09-22,17.4
2020-09-23,23.8
2020-09-24,19.9
2020-09-25,26.9
2020-09-26,4.3
2020-09-27,28.8
2020-09-28,31.6
2020-09-29,26.2
2020-09-30,30.4
2020-10-01,25.8
2020-10-02,25.4
2020-10-03,20.9
2020-10-04,22.6
2020-10-05,27.2
2020-10-06,28.2
2020-10-07,20.6
2020-10-08,26.7
2020-10-09,21.7
2020-10-10,26.5
2020-10-11,25.7
2020-10-12,31.1
2020-10-13,28.6
2020-10-14,28.7
2020-10-15,25.4
2020-10-16,28.1
2020-10-17,29.7
2020-10-18,26.9
2020-10-19,30.0
2020-10-20,31.2
2020-10-21,28.7
2020-10-22,30.4
2020-10-23,30.7
2020-10-24,36.6
2020-10-25,27.8
2020-10-26,39.3
2020-10-27,36.5
2020-10-28,37.6
2020-10-29,44.3
2020-10-30,47.0
2020-10-31,51.4
2020-11-01,49.1
2020-11-02,51.9
2020-11-03,49.2
2020-11-04,53.5
2020-11-05,56.4
2020-11-06,50.3
2020-11-07,51.0
2020-11-08,52.3
2020-11-09,56.6
2020-11-10,61.2
2020-11-11,54.4
2020-11-12,59.5
2020-11-13,59.5
2020-11-14,59.0
2020-11-15,57.5
2020-11-16,60.2
2020-11-17,64.3
2020-11-18,63.2
2020-11-19,64.4
2020-11-20,28.5
