date,new_diagnoses,cum_diagnoses,new_recoveries,cum_recoveries,new_deaths,cum_deaths,cum_tests,new_tests,n_critical,ventilation,hospitalised,1vac,2vac,positive_percent,yandex_index,asympt_percent
2020-03-12,0,0,0,0,0,0,,,,,,,,,0.6,
2020-03-13,0,0,0,0,0,0,,,0,,,,,,0.6,
2020-03-14,0,0,0,0,0,0,,,0,,,,,,2,
2020-03-15,0,0,0,0,0,0,,,0,,,,,,2.7,4.0
2020-03-16,0,0,0,0,0,0,,,0,,,,,,0.7,
2020-03-17,0,0,0,0,0,0,,,0,,,,,,0.7,
2020-03-18,1,1,0,0,0,0,,,0,,,,,,1,
2020-03-19,1,2,0,0,0,0,,,42,,,,,,1.1,
2020-03-20,2,4,0,0,0,0,,,,,,,,,1.1,
2020-03-21,0,4,0,0,0,0,,,73,,,,,,2.5,
2020-03-22,0,4,0,0,0,0,,,49,,,,,,3.1,
2020-03-23,0,4,0,0,0,0,,,,,,,,,1.2,
2020-03-24,0,4,0,0,0,0,,,52,,,,,,1.2,43.0
2020-03-25,0,4,0,0,0,0,,,55,,,,,,1.1,46.0
2020-03-26,1,5,0,0,0,0,,,57,,,,,,1.2,
2020-03-27,0,5,0,0,0,0,,,66,,,,,,1.2,40.0
2020-03-28,2,7,0,1,0,0,,,58,,,,,,2.8,
2020-03-29,1,8,0,1,0,0,,,,,,,,,3.4,41.0
2020-03-30,1,9,0,1,0,0,,,69,,,,,,2.4,
2020-03-31,0,9,0,1,0,0,,,68,,,,,,2.5,
2020-04-01,1,10,0,2,0,0,,,61,,,,,,3.3,
2020-04-02,0,10,0,2,0,0,,,56,,,,,,3.3,
2020-04-03,0,10,0,2,0,0,,,62,,,,,,3.2,
2020-04-04,0,10,0,2,0,0,,,,,,,,,3.6,37.0
2020-04-05,1,11,0,2,0,0,,,,,,,,,3.8,
2020-04-06,0,11,0,2,0,0,,,60,,,,,,2.5,
2020-04-07,0,11,0,2,0,0,,,55,,,,,,2.4,
2020-04-08,2,13,0,7,0,0,,,57,,,,,,2.5,
2020-04-09,5,18,0,7,0,0,,,54,,,,,,2.5,
2020-04-10,3,21,0,8,0,0,,,,,,,,,2.4,
2020-04-11,7,28,0,10,0,0,,,76,,,,,,3.1,
2020-04-12,0,28,0,10,0,0,,,,,,,,,3.4,
2020-04-13,8,36,0,10,0,0,,,125,,,,,,2.2,
2020-04-14,0,36,0,10,0,0,,,139,,,,,,2.1,
2020-04-15,17,53,0,12,0,0,,,133,,,,,,2.1,
2020-04-16,11,64,0,14,1,1,,,126,,,,,,2.1,
2020-04-17,12,76,0,16,1,2,,,137,,,,,,2,
2020-04-18,10,86,0,16,0,2,,,168,,,,,,2.9,
2020-04-19,22,108,0,16,1,3,,,197,,,,,,3.2,43.0
2020-04-20,24,132,0,16,0,3,,,212,,,,,,2,45.2
2020-04-21,3,135,0,16,1,4,,,274,,,,,,1.9,45.5
2020-04-22,16,151,0,21,0,4,,,304,,,,,,1.9,43.4
2020-04-23,17,168,0,23,0,4,,,,,,,,,1.8,47.8
2020-04-24,41,209,0,24,0,4,19388,,0,,,,,,1.8,46.1
2020-04-25,38,247,0,39,0,4,22314,2926,0,0,468,,,,2.8,48.9
2020-04-26,58,305,0,39,0,4,23261,947,26,3,546,,,,3.1,45.9
2020-04-27,42,347,0,39,0,4,24819,1558,34,6,597,,,,1.7,43.4
2020-04-28,60,407,0,53,0,4,27053,2234,34,8,630,,,,1.9,40.7
2020-04-29,29,436,0,63,0,4,29672,2619,32,8,652,,,,1.8,44.9
2020-04-30,35,471,0,78,0,4,33087,3415,17,9,720,,,,1.5,39.9
2020-05-01,55,526,0,80,1,5,36423,3336,32,7,795,,,,2.9,44.5
2020-05-02,43,569,0,105,2,7,38017,1594,37,7,734,,,,2.9,46.6
2020-05-03,51,620,0,109,0,7,39461,1444,37,9,768,,,,2.8,50.3
2020-05-04,61,681,0,150,2,9,41406,1945,36,12,802,,,,3,50.6
2020-05-05,65,746,0,179,0,9,43787,2381,34,16,795,,,,2.9,49.1
2020-05-06,63,809,0,184,2,11,46507,2720,44,44,971,,,,1.9,40.9
2020-05-07,67,876,0,240,1,12,48810,2303,53,25,1192,,,,1.8,48.7
2020-05-08,73,949,0,262,0,12,51568,2758,54,20,1283,,,,1.5,48.9
2020-05-09,76,1025,44,306,2,14,55160,3592,48,20,1268,,,,2.6,40.7
2020-05-10,75,1100,1,307,1,15,56952,1792,51,20,1295,,,,2.7,42.4
2020-05-11,71,1171,7,314,0,15,58274,1322,55,16,1510,,,,2.5,46.5
2020-05-12,55,1226,14,338,1,16,60243,1969,55,17,1503,,,,1.4,43.1
2020-05-13,74,1300,66,404,0,16,62933,2690,51,20,1548,,,,1.4,44.5
2020-05-14,76,1376,51,455,0,16,65842,2909,61,13,1550,,,,1.3,40.6
2020-05-15,71,1447,72,527,2,18,69170,3328,61,19,1575,,,,1.3,42.5
2020-05-16,64,1511,83,610,2,20,71892,2722,61,14,1398,,,,2.5,44.8
2020-05-17,70,1581,28,638,0,20,73722,1830,56,19,1488,,,,2.6,42.4
2020-05-18,71,1652,0,638,0,20,75132,1410,65,21,1526,,,,1.3,40.1
2020-05-19,76,1728,54,692,2,22,78026,2894,62,22,1528,,,,1.3,43.1
2020-05-20,77,1805,48,730,0,23,81554,3528,64,18,1522,,,,1.3,45.9
2020-05-21,76,1881,43,773,1,25,85268,3714,71,18,1523,,,0,1.5,42.0
2020-05-22,79,1960,53,826,2,25,89262,3994,67,16,1516,,,0,1.3,42.2
2020-05-23,83,2043,56,882,2,27,92113,2851,61,15,1577,,,,2.2,42.0
2020-05-24,81,2124,9,891,2,29,93543,1430,69,22,1573,,,,2.7,43.9
2020-05-25,89,2213,0,891,0,29,95385,1842,66,9,1599,,,0,1.4,43.7
2020-05-26,87,2300,0,891,1,30,98551,3166,59,19,1639,,,0,1.2,41.1
2020-05-27,97,2397,11,902,1,31,101543,2992,64,21,1628,,,0,1.3,40.8
2020-05-28,96,2493,53,955,0,31,104264,2721,70,24,1627,,,8,1.2,42.5
2020-05-29,103,2596,62,1017,0,31,107491,3227,62,18,1625,,,8,1.2,39.4
2020-05-30,109,2705,72,1089,1,32,110528,3037,66,22,1665,,,,2.3,41.9
2020-05-31,104,2809,30,1119,0,32,111873,1345,64,19,1554,,,,3,40.8
2020-06-01,105,2914,10,1129,1,33,114483,2610,67,20,1643,,,10,1.1,40.1
2020-06-02,106,3020,85,1204,1,34,118027,3544,67,24,1542,,,15,1.1,41.9
2020-06-03,102,3122,27,1262,0,34,122124,4097,72,24,1543,,,10,1.2,38.5
2020-06-04,104,3226,44,1306,2,36,125010,2886,75,15,1589,,,10,1.1,38.2
2020-06-05,108,3334,0,1306,2,38,128318,3308,42,10,1594,,,14,1.3,37.1
2020-06-06,107,3441,13,1369,2,40,132319,4001,37,12,1570,,,0,2.3,36.9
2020-06-07,105,3546,17,1386,1,41,133246,927,39,11,1642,,,25,2.6,38.5
2020-06-08,102,3648,69,1455,1,42,135609,2363,37,9,1728,,,16,1.1,36.6
2020-06-09,104,3752,97,1552,2,44,138803,3194,41,11,1716,,,14,1,38.1
2020-06-10,106,3858,167,1719,2,46,142045,3242,46,14,1718,,,17,1.1,34.8
