2020-05-01	0	0		
2020-05-02	0	0
2020-05-03	0	0
2020-05-04	1	1	61	55
2020-05-05	0	0
2020-05-06	0	0
2020-05-07	0	0
2020-05-08	0	0
2020-05-09	0	0
2020-05-10	0	0
2020-05-11	0	0
2020-05-12	0	1		64
2020-05-13	0	0
2020-05-14	0	0
2020-05-15	0	2		68, 71
2020-05-16	2	0	67, 77
2020-05-17	0	0
2020-05-18	0	0
2020-05-19	0	2		63, 62
2020-05-20	0	0
2020-05-21	1	1	60	59
2020-05-22	0	0
2020-05-23	0	2		70, 60
2020-05-24	2	0	39, 61
2020-05-25	0	0
2020-05-26	1	0	60
2020-05-27	0	0
2020-05-28	0	0
2020-05-29	0	0
2020-05-30	0	1		79
2020-05-31	0	0
2020-06-01	1	0	66
2020-06-02	0	1		57
2020-06-03	0	0
2020-06-04	0	0
2020-06-05	1	1	64	71
2020-06-06	0	1		78
2020-06-07	0	1		69
2020-06-08	0	1		69
2020-06-09	2	0	63, 78
2020-06-10	1	1	54	57
2020-06-11	2	0	30, 49
2020-06-12	1	1	55	58
2020-06-13	2	1	55, 75	34
2020-06-14	0	2		49, 75
2020-06-15	1	1	57	73
2020-06-16	2	1	64, 65	69
2020-06-17	1	1	73	70
2020-06-18	0	1		78
2020-06-19	2	0	69, 80
2020-06-20	1	0	51
2020-06-21	2	0	67, 84
2020-06-22	2	0	45, 53
2020-06-23	2	2	32, 70	82, 92
2020-06-24	1	1	84	81
2020-06-25	2	2	58, 82	58, 84
2020-06-26	0	0
2020-06-27	2	0	89, 92
2020-06-28	3	1	67, 71, 79	69
2020-06-29	2	0	66, 71
2020-06-30	2	1	65, 79	83
2020-07-01	2	0	61, 71
2020-07-02	1	1	69	80
2020-07-03	1	3	60	65, 73, 85
2020-07-04	2	0	71, 87
2020-07-05	3	1	58, 71, 77	58
2020-07-06	3	1	70, 75, 77	48
2020-07-07	3	1	58, 60, 61	73
2020-07-08	2	2	67, 68	53, 67
2020-07-09	1	3	60	38, 56, 77
2020-07-10	3	2	51, 69, 73	62, 77
2020-07-11	1	3	65	59, 63, 90
2020-07-12	2	3	61, 77	71, 74, 86
2020-07-13	1	3	82	70, 91, 93
2020-07-14	1	1	74	73
2020-07-15	3	1	55, 61, 74	53
2020-07-16	2	0	71, 72
2020-07-17	1	3	73	73, 80, 81
2020-07-18	0	3		57, 66, 80
2020-07-19	1	4	82	69, 73, 75, 85
2020-07-20	1	2	70	81, 87
2020-07-21	4	0	65, 69, 80, 86
2020-07-22	2	2	61, 71	60, 93
2020-07-23	1	4	71	70, 75, 77, 83
2020-07-24	2	4	54, 69	59, 69, 70, 84
2020-07-25	3	3	64, 85, 94	62, 68, 80
2020-07-26	2	2	43, 45	73, 74
2020-07-27	4	2	61, 69, 78, 80	78, 84
2020-07-28	1	4	55	46, 48, 66, 82
2020-07-29	5	2	43, 52, 65, 66, 68	64, 83
2020-07-30	1	3	61	49, 61, 65
2020-07-31	3	4	50, 91, 99	56, 71, 75, 78
2020-08-01	0	1		67
2020-08-02	2	4	43, 62	57, 61, 61, 81
2020-08-03	2	4	50, 62	61, 65, 69, 81
2020-08-04	5	0	60, 64, 70, 71, 72
2020-08-05	0	4		31, 54, 67, 78
2020-08-06	2	4	59, 82	57, 67, 82, 83
2020-08-07	3	3	64, 78, 83	64, 68, 83
2020-08-08	0	0
2020-08-09	2	4	62, 70	45, 68, 71, 74
2020-08-10	3	2	40, 45, 64	81, 87
2020-08-11	4	3	59, 60, 62, 82	42, 49, 75
2020-08-12	1	4	61	60, 63, 71, 84
2020-08-13	5	1	49, 56, 62, 71, 89	50
2020-08-14	3	0	63, 67, 85
2020-08-15	0	0
2020-08-16	1	2	82	66, 70
2020-08-17	1	2	82	67, 70
2020-08-18	3	1	61, 67, 91	73
2020-08-19	1	4	63	56, 61, 70, 80
2020-08-20	5	0	63, 67, 70, 79, 82
2020-08-21	3	3	66, 73, 83	57, 75, 77
2020-08-22	1	2	72	72, 80
2020-08-23	2	0	77, 77
2020-08-24	1	1	84	81
2020-08-25	3	0	58, 78, 80
2020-08-26	0	2		60, 71
2020-08-27	1	2	55	58, 65
2020-08-28	1	2	65	77, 80
2020-08-29	2	0	79, 91
2020-08-30	0	1		59
2020-08-31	1	2	72	48, 76
2020-09-01	2	1	58, 79	78
2020-09-02	1	2	55	80, 84
2020-09-03	2	0	65, 80
2020-09-04	2	2	59, 63	60, 61
2020-09-05	2	3	62, 66	67, 73, 83
2020-09-06	0	2		52, 70
2020-09-07	0	0
2020-09-08	2	1	72, 81	60
2020-09-09	2	1	59, 64	61
2020-09-10	2	1	56, 73	64
2020-09-11	1	1	49	52
2020-09-12	1	0	67
2020-09-13	1	3	49	60, 81, 86
2020-09-14	0	3		67, 69, 83
2020-09-15	0	1		70
2020-09-16	2	1	44, 72	85
2020-09-17	1	1	65	69
2020-09-18	2	2	66, 76	63, 73
2020-09-19	1	2	61	73, 83
2020-09-20	0	3		58, 65, 81
2020-09-21	1	3	71	72, 76, 84
2020-09-22	2	1	58, 63	72
2020-09-23	1	4	59	53, 71, 82, 82
2020-09-24	1	1	64	71
2020-09-25	3	1	57, 78, 85	88
2020-09-27	3	1	52, 53, 63	65
2020-09-28	1	1	63	80
2020-09-29	1	3	72	72, 73, 84
2020-09-30	4	0	49, 66, 81, 82
2020-10-01	4	1	40, 60, 80, 88	82
2020-10-02	2	1	61, 94	78
2020-10-03	1	2	81	80, 88
2020-10-04	1	2	67	50, 61
2020-10-05	4	0	66, 73, 74, 70
2020-10-06	3	1	57, 67, 68	56
2020-10-07	3	0	40, 42, 67
2020-10-08	1	4	51	58, 74, 80, 87
2020-10-09	0	2		61, 85
2020-10-10	2	3	81, 85	58, 65, 67
2020-10-11	1	2	59	71, 83
2020-10-12	1	4	68	25, 71, 72, 81
2020-10-13	1	3	31	67, 74, 79
2020-10-14	2	3	45, 66	72, 64, 74
2020-10-15	2	4	62, 74	66, 68, 74, 83
2020-10-16	2	4	53, 57	47, 51, 58, 69
2020-10-17	2	3	45, 73	66, 70, 84
2020-10-18	2	2	63, 68	74, 82
2020-10-19	3	2	69, 80, 82	65, 78
2020-10-20	3	3	62, 67, 74	67, 68, 72
2020-10-21	3	0	64, 65, 81
2020-10-22	2	4	57, 68	54, 65, 66, 80
2020-10-23	4	0	32, 52, 67, 78
2020-10-24	4	1	60, 69, 70, 74	64
2020-10-25	0	3		64, 73, 77
2020-10-26	2	4	66, 74	64, 72, 86, 90
2020-10-27	0	3		31, 67, 71
2020-10-28	1	4	70	64, 72, 74, 84
2020-10-29	2	2	61, 82	62, 81
2020-10-30	3	2	64, 74, 83	62, 65
2020-10-31	2	1	62, 92	65
2020-11-01	3	1	51, 64, 73	72
2020-11-02	1	4	66	85, 58, 61, 73
2020-11-03	1	3	70	60, 65, 68
2020-11-04	1	2	79	83, 85
2020-11-05	3	3	60, 67, 69	73, 74, 88
2020-11-06	0	1		69
2020-11-07	1	3	32	58, 82, 77
2020-11-08	4	0	57, 63, 72, 73
2020-11-09	2	2	43, 67	56, 90
2020-11-10	2	3	28, 72	59, 60, 74
2020-11-11	2	1	67, 71	61
2020-11-12	5	2	62, 67, 70, 81, 89	52, 57
2020-11-13	1	2	84	74, 90
2020-11-14	1	3	74	57, 71, 86
2020-11-15	3	3	46, 72, 81	65, 68, 71
2020-11-16	4	1	53, 60, 66, 88	68
2020-11-17	0	5		50, 53, 56, 59, 73
2020-11-18	3	1	62, 70, 76	70
2020-11-19	2	5	39, 67	70, 81, 82, 83, 94
2020-11-20	2	3	39, 77	49, 59, 65
2020-11-21	2	3	65, 85	69, 72, 86
2020-11-22	5	1	61, 64, 65, 77, 79	24
2020-11-23	4	1	61, 66, 74, 80	79
2020-11-24	2	3	68, 91	60, 59, 76
2020-11-25	4	3	46, 47, 56, 80	57, 82, 93
2020-11-26	2	4	54, 63	59, 75, 77, 82
2020-11-27	0	0
2020-11-28	5	1	38, 65, 75, 75, 78	72
2020-11-29	3	3	41, 42, 82	50, 82, 91
2020-11-30	2	4	65, 69	53, 60, 70, 74
2020-12-01	2	5	65, 73	50, 56, 63, 67, 91
2020-12-02	4	2	62, 63, 66, 68	66, 74
2020-12-03	5	2	59, 61, 80, 80, 97	47, 63
2020-12-04	3	4	30, 68, 70	70, 71, 71, 79
2020-12-05	5	3	41, 43, 60, 70, 72	63, 66, 80
2020-12-06	4	3	46, 54, 60, 61	54, 69, 80
2020-12-07	3	2	59, 67, 70	54, 59
2020-12-08	4	2	54, 66, 68, 75	70, 74
2020-12-09	2	5	49, 57	44, 61, 63, 79, 92
2020-12-10	3	4	54, 71, 72	52, 59, 61, 63
2020-12-11	4	3	59, 63, 76, 82	61, 63, 70
2020-12-12	3	3	54, 57, 71	30, 65, 83
2020-12-13	3	4	59, 60, 87	43, 48, 53, 81
2020-12-14	2	4	64, 78	47, 62, 70, 82
2020-12-15	4	3	51, 64, 74, 81	64, 67, 79
2020-12-16	4	3	53, 64, 68, 74	56, 65, 80
2020-12-17	6	1	51, 58, 59, 81, 82, 84	92
2020-12-18	3	3	46, 52, 81	60, 77, 79
2020-12-19	2	6	36, 58	59, 71, 73, 81, 88, 90
2020-12-20	3	4	64, 71, 80	60, 68, 70, 83
2020-12-21	5	2	59, 64, 66, 67, 73	60, 74
2020-12-22	5	2	66, 67, 78, 83, 91	51, 69
2020-12-23	4	3	57, 60, 61, 67	54, 64, 72
2020-12-24	3	3	60, 67, 72	59, 80, 82
2020-12-25	5	4	68, 74, 75, 78, 80	51, 62, 64, 75
2020-12-26	5	2	23, 26, 60, 79, 84	60, 80
2020-12-27	4	4	55, 59, 63, 73	63, 66, 69, 86
2020-12-28	5	2	67, 62, 70, 73, 86	61, 68
2020-12-29	4	2	59, 64, 66, 70	63, 67
2020-12-30	3	5	54, 56, 67	59, 62, 65, 71, 78
2020-12-31	6	3	51, 54, 54, 58, 62, 71	65, 70, 77
2021-01-01	5	2	56, 62, 64, 70, 82	61, 71
2021-01-02	0	0
2021-01-03	0	0
2021-01-04	4	5	46, 52, 56, 80	61, 66, 68, 77, 83
2021-01-05	4	4	48, 60, 67, 72	59, 72, 76, 80
2021-01-06	5	2	55, 62, 64, 72, 74	59, 82
2021-01-07	2	7	58, 65	56, 70, 72, 79, 80, 81, 83
2021-01-08	4	3	42, 61, 71, 74	63, 65, 69
2021-01-09	3	6	36, 42, 83	59, 62, 67, 71, 71, 80
2021-01-10	4	3	56, 68, 69, 72	68, 73, 89
2021-01-11	5	3	48, 60, 65, 78, 79	58, 67, 69
2021-01-12	5	4	61, 64, 71, 72, 86	54, 57, 74, 88
2021-01-13	7	2	55, 59, 65, 74, 74, 75, 91	67, 70
2021-01-14	3	2	48, 56, 61	71, 82
2021-01-15	3	5	49, 65, 86	54, 58, 59, 89, 92
2021-01-16	3	6	58, 61, 67	42, 61, 66, 83, 84, 87
2021-01-17	3	4	64, 64, 70	62, 73, 76, 84
2021-01-18	3	5	60, 65, 81	25, 62, 64, 84, 89
2021-01-19	1	7	52	63, 64, 69, 72, 79, 81, 82
2021-01-20	2	4	62, 69	73, 75, 83, 87
2021-01-21	4	6	58, 64, 74, 81	47, 54, 59, 62, 67, 78
2021-01-22	4	4	62, 66, 68, 84	55, 67, 70, 83
2021-01-23	4	3	55, 60, 68, 84	66, 79, 83
2021-01-24	9	1	36, 66, 71, 73, 73, 77, 80, 83, 92	73
