date,cum_diagnoses,cum_deaths,cum_recoveries,cum_tests,new_tests,new_diagnoses,new_recoveries,new_deaths
2020-03-29,3,,,,,3,,
2020-03-30,3,,,,,0,,
2020-03-31,3,,,,,0,,
2020-04-01,7,,,,,4,,
2020-04-02,9,,,,,2,,
2020-04-03,9,,,,,0,,
2020-04-04,10,,,,,1,,
2020-04-05,10,,,,,0,,
2020-04-06,10,,,,,0,,
2020-04-07,14,,,,,4,,
2020-04-08,15,,,,,1,,
2020-04-09,15,,,,,0,,
2020-04-10,17,,3,,,2,,
2020-04-11,17,,3,,,0,0,
2020-04-12,19,,5,,,2,2,
2020-04-13,20,,5,,,1,0,
2020-04-14,20,,6,,,0,1,
2020-04-15,22,,9,,,2,3,
2020-04-16,23,,9,,,1,0,
2020-04-17,26,,9,,,3,0,
2020-04-18,31,,13,,,5,,
2020-04-19,33,,14,,,2,1,
2020-04-20,36,,16,,,3,2,
2020-04-21,41,,16,,,5,0,
2020-04-22,45,,17,,,4,1,
2020-04-23,53,,19,,,8,2,
2020-04-24,54,,19,,,1,0,
2020-04-25,58,1,19,,,4,0,
2020-04-26,62,2,20,,,4,1,1
2020-04-27,71,1,20,,,9,0,-1
2020-04-28,82,1,21,,,11,1,0
2020-04-29,87,2,22,,,5,1,1
2020-04-30,97,3,24,,,10,2,1
2020-05-01,107,3,26,,,10,2,0
2020-05-02,116,3,26,,,9,0,0
2020-05-03,127,3,27,60512,,11,1,0
2020-05-04,161,3,31,62513,2001,34,4,0
2020-05-05,191,3,39,64515,2002,30,8,0
2020-05-06,197,3,40,66518,2003,6,1,0
2020-05-07,208,4,46,68522,2004,11,6,1
2020-05-08,223,6,46,70527,2005,15,0,2
2020-05-09,245,6,54,72533,2006,22,8,0
2020-05-10,279,6,54,74540,2007,34,0,0
2020-05-11,302,7,58,76548,2008,23,4,1
2020-05-12,332,7,59,78557,2009,30,1,0
2020-05-13,355,7,68,80567,2010,23,9,0
2020-05-14,389,7,70,82578,2011,34,2,0
2020-05-15,436,7,74,84590,2012,47,4,0
2020-05-16,476,7,88,86603,2013,40,14,0
2020-05-17,534,7,88,88617,2014,58,0,0
2020-05-18,599,7,91,90632,2015,65,3,0
2020-05-19,652,7,104,92648,2016,53,13,0
2020-05-20,717,7,115,94665,2017,65,11,0
2020-05-21,764,7,120,96683,2018,47,5,0
2020-05-22,838,7,131,98702,2019,74,11,0
2020-05-23,925,16,192,100722,2020,87,61,9
2020-05-24,985,18,228,102743,2021,60,36,2
2020-05-25,1044,18,228,105302,2559,59,0,0
2020-05-26,1097,18,265,106977,1675,53,37,0
2020-05-27,1139,18,288,110386,3409,42,23,0
2020-05-28,1226,18,301,113414,3028,87,13,0
2020-05-29,1268,18,313,117805,4391,42,12,0
2020-05-30,1318,18,340,121767,3962,50,27,0
2020-05-31,1387,18,349,125353,3586,69,9,0
2020-06-01,1411,18,359,127864,2511,24,10,0
2020-06-02,1437,18,386,129169,1305,26,27,0
2020-06-03,1482,18,437,131964,2795,45,51,0
2020-06-04,1540,18,566,133985,2021,58,129,0
2020-06-05,1595,18,605,136324,2339,55,39,0
2020-06-06,1676,18,664,138548,2224,81,59,0
2020-06-07,1718,18,684,141325,2777,42,20,0
2020-06-08,1776,18,689,143039,1714,58,5,0
2020-06-09,1851,18,758,144110,1071,75,69,0
2020-06-10,1930,18,968,146399,2289,79,210,0
2020-06-11,1977,23,1098,148777,2378,47,130,5
2020-06-12,2063,23,1189,150951,2174,86,91,0
2020-06-13,2148,23,1213,153900,2949,85,24,0
2020-06-14,2247,23,1218,154669,769,99,5,0
2020-06-15,2340,23,1226,156009,1340,93,8,0
2020-06-16,2437,24,1281,157442,1433,97,55,1
2020-06-17,2535,24,1335,159697,2255,98,54,0
2020-06-18,2624,24,1504,162720,3023,89,169,0
2020-06-19,2727,24,1558,165826,3106,103,54,0
2020-06-20,2821,25,1602,168649,2823,94,44,1
2020-06-21,2920,25,1638,172588,3939,99,36,0
2020-06-22,3018,25,1660,175943,3355,98,22,0
2020-06-23,3100,27,1767,177435,1492,82,107,2
2020-06-24,3184,27,1814,181312,3877,84,47,0
2020-06-25,3236,27,1851,185352,4040,52,37,0
2020-06-26,3297,27,1910,186652,1300,61,59,0
