Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2020-07-12,2769113,2771387,2766416,462,1178,339,2520,6639,541,6193,10000,1363,1845,2252,1652,26,32,22,129,130,128,126,378,57,0.813974139526621,1.1399158878583782,0.4171727783747765,0.1159159899099897,0.0916975922120632,0.0687734253259741,0.0541492874801576,0.0105764618877427,0.0036319530971782,0.3476288793608768,0.1284691702486035
2020-07-13,2769074,2771356,2766396,446,1023,340,2275,5845,539,6811,10459,2303,1523,2189,1203,28,37,21,131,132,128,135,345,99,0.6308299581331313,0.8834348130902431,0.3233089032404518,0.1159159899099897,0.0916975922120632,0.0687734253259741,0.0541492874801576,0.0105764618877427,0.0036319530971782,0.3476288793608768,0.1284691702486035
2020-07-14,2769054,2771339,2766393,419,887,323,2059,5169,535,7334,10787,3225,1261,2031,888,29,39,20,132,135,128,129,296,98,0.5494325441804692,0.7694432243044053,0.2815916254029741,0.1159159899099897,0.0916975922120632,0.0687734253259741,0.0541492874801576,0.0105764618877427,0.0036319530971782,0.3476288793608768,0.1284691702486035
2020-07-15,2769009,2771299,2766368,423,806,330,1870,4595,530,7768,11019,4070,1056,1857,667,28,39,19,134,138,129,124,263,96,0.813974139526621,1.1399158878583782,0.4171727783747765,0.1159159899099897,0.0916975922120632,0.0687734253259741,0.0541492874801576,0.0105764618877427,0.0036319530971782,0.3476288793608768,0.1284691702486035
2020-07-16,2768966,2771257,2766340,427,743,339,1707,4110,527,8147,11189,4877,879,1642,508,27,38,18,135,141,129,121,231,95,0.8546728465029522,1.1969116822512973,0.4380314172935153,0.1159159899099897,0.0916975922120632,0.0687734253259741,0.0541492874801576,0.0105764618877427,0.0036319530971782,0.3476288793608768,0.1284691702486035
2020-07-17,2768888,2768899,2768871,440,455,430,1567,1569,1566,8440,8441,8439,762,762,762,25,26,25,166,167,166,126,126,126,0.6911665202676281,0.89328123369321,0.4794674362641802,0.0980363239633443,0.0647206219797569,0.0526507687888392,0.0221520638708008,0.0165035787390267,0.0011336505533691,0.4635905804320709,0.0359007138576806
2020-07-18,2768843,2768861,2768814,445,468,431,1448,1453,1444,8677,8678,8675,682,682,681,26,27,25,168,169,168,127,131,124,0.6911665202676281,0.89328123369321,0.4794674362641802,0.0980363239633443,0.0647206219797569,0.0526507687888392,0.0221520638708008,0.0165035787390267,0.0011336505533691,0.4635905804320709,0.0359007138576806
2020-07-19,2768805,2768827,2768767,446,473,431,1345,1355,1339,8893,8894,8891,604,606,603,25,27,24,170,171,169,129,136,125,0.6911665202676281,0.89328123369321,0.4794674362641802,0.0980363239633443,0.0647206219797569,0.0526507687888392,0.0221520638708008,0.0165035787390267,0.0011336505533691,0.4635905804320709,0.0359007138576806
2020-07-20,2768793,2768816,2768746,423,453,410,1254,1268,1246,9082,9084,9079,540,542,538,25,26,23,172,173,171,131,139,127,0.5430594087817078,0.7018638264732363,0.3767244142075701,0.0980363239633443,0.0647206219797569,0.0526507687888392,0.0221520638708008,0.0165035787390267,0.0011336505533691,0.4635905804320709,0.0359007138576806
2020-07-21,2768797,2768821,2768743,392,423,378,1169,1187,1160,9259,9263,9255,473,476,472,24,26,22,174,175,172,122,130,118,0.4607776801784187,0.5955208224621399,0.3196449575094534,0.0980363239633443,0.0647206219797569,0.0526507687888392,0.0221520638708008,0.0165035787390267,0.0011336505533691,0.4635905804320709,0.0359007138576806
2020-07-22,2768763,2768772,2768755,398,405,390,1093,1094,1093,9396,9396,9395,434,434,434,20,20,19,185,185,184,115,115,115,0.8204874352701772,0.9788940431343692,0.7007758846584138,0.1403971819809023,0.0727270356999739,0.0532522572787881,0.0306935962188746,0.026098417556496,0.0016505635184534,0.418319878026211,0.0553806980916766
2020-07-23,2768735,2768750,2768721,402,413,391,1029,1031,1026,9507,9508,9506,409,410,408,20,21,20,186,187,185,120,122,117,0.8409996211519316,1.0033663942127284,0.718295281774874,0.1403971819809023,0.0727270356999739,0.0532522572787881,0.0306935962188746,0.026098417556496,0.0016505635184534,0.418319878026211,0.0553806980916766
2020-07-24,2768710,2768729,2768693,403,416,391,973,978,968,9615,9616,9614,378,379,377,21,22,20,188,188,186,117,120,114,0.8409996211519316,1.0033663942127284,0.718295281774874,0.1403971819809023,0.0727270356999739,0.0532522572787881,0.0306935962188746,0.026098417556496,0.0016505635184534,0.418319878026211,0.0553806980916766
2020-07-25,2768688,2768708,2768668,402,414,391,925,932,919,9712,9714,9710,351,352,350,21,22,20,189,190,187,117,121,114,0.8409996211519316,1.0033663942127284,0.718295281774874,0.1403971819809023,0.0727270356999739,0.0532522572787881,0.0306935962188746,0.026098417556496,0.0016505635184534,0.418319878026211,0.0553806980916766
